City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sweet home,44.3976,-122.7362,11.4,67,0,0.45,US,1701040957
83,saipan,15.1355,145.701,29.39,79,0,8.75,MP,1701040957
84,newman,37.3138,-121.0208,15.72,45,99,0.89,US,1701040957
85,filingue,14.3521,3.3168,29.39,19,95,2.42,NE,1701040958
86,bayevo,53.2833,80.7667,0.72,92,100,2.83,RU,1701040958
87,akrehamn,59.2667,5.1833,4.67,79,100,11.96,NO,1701040958
88,margaret river,-33.95,115.0667,20.44,61,100,4.58,AU,1701040958
89,sao jose da coroa grande,-8.8978,-35.1478,24.84,70,0,2.78,BR,1701040959
90,tionk essil,12.7856,-16.5217,22.98,66,0,2.4,SN,1701040959
91,alofi,-19.0595,-169.9187,29.94,70,48,5.66,NU,1701040959
92,saint pete beach,27.7253,-82.7412,24.54,91,100,5.66,US,1701040960
93,tovarkovskiy,53.6822,38.2092,0.44,99,100,7.16,RU,1701040960
94,opuwo,-18.0607,13.84,24.75,56,92,2.48,NA,1701040960
95,udachny,66.4167,112.4,-19.68,99,99,3.3,RU,1701040960
96,naze,28.3667,129.4833,18.51,80,96,2.6,JP,1701040960
97,choyr,46.3611,108.3611,-15.96,77,61,7.13,MN,1701040960
98,alice springs,-23.7,133.8833,24.75,53,27,2.06,AU,1701040725
99,ulety,51.3572,112.4849,-16.19,90,61,3.53,RU,1701040961
100,fale old settlement,-9.3852,-171.2468,29.87,74,40,7.46,TK,1701040961
101,bayanhongor,46.7167,100.1167,-19.22,84,4,2.29,MN,1701040961
102,callao,-12.0667,-77.15,24.29,73,0,6.69,PE,1701040961
103,yeppoon,-23.1333,150.7333,24.88,71,99,4.31,AU,1701040962
104,olonkinbyen,70.9221,-8.7187,1.07,87,82,7.77,SJ,1701040962
105,thompson,55.7435,-97.8558,-16.91,71,75,4.63,CA,1701040962
106,goondiwindi,-28.55,150.3167,25.66,60,65,3.1,AU,1701040962
107,richards bay,-28.783,32.0377,21.71,94,15,0.98,ZA,1701040962
108,grahamstown,-33.3042,26.5328,16.08,89,8,2.37,ZA,1701040962
109,nova sintra,14.8667,-24.7167,22.06,67,25,6.88,CV,1701040962
110,west island,-12.1568,96.8225,25.99,73,40,5.14,CC,1701040962
111,vorkuta,67.5,64.0,-19.15,100,92,1.27,RU,1701040963
112,jansath,29.3333,77.85,17.35,35,100,0.93,IN,1701040963
113,koryazhma,61.3143,47.1691,-10.05,93,100,2.72,RU,1701040963
114,lebu,-37.6167,-73.65,14.31,84,100,4.7,CL,1701040963
115,kodiak,57.79,-152.4072,3.73,93,75,2.06,US,1701040963
116,bridgewater,44.3835,-64.5155,3.79,78,26,1.54,CA,1701040963
117,utrik,11.2278,169.8474,27.85,72,94,9.21,MH,1701040963
118,vadso,70.0744,29.7487,-1.91,80,75,5.66,NO,1701040963
